"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"REFUSING TO AID OFFICER IN ARREST","Title 21","21-537",1910,"21-537",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Refusal to Arrest Another","Title 21","21-538",1910,"21-538",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"RESIST EXEC OF PROCESS/INSURRECTI0N","Title 21","21-539",1999,"21-539",1999,"Felony","2","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"OBSTRUCTING OFFICER","Title 21","21-540",2015,"21-540",2015,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"ELUDING POLICE OFFICER (FIRST OFFENSE)","Title 21","21-540A.A.1",2000,"21-540A.A.1",2000,"Misdemeanor","0","1","100","2000","No","Nonspecific","Not Applicable","Not Applicable"
"ELUDING POLICE OFFICER (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-540A.A.2",2000,"21-540A.A.2",2000,"Unspecified","0","1","500","5000","No","Nonspecific","Not Applicable","Not Applicable"
"ELUDING POLICE OFFICER (ENDANGERMENT OF OTHERS)","Title 21","21-540A.B",2000,"21-540A.B",2000,"Felony","1","5","1000","5000","No","Nonspecific","Not Applicable","Not Applicable"
"ELUDING POLICE OFFICER (GREAT BODILY HARM)","Title 21","21-540A.C.1",2000,"21-540A.C.1",2000,"Felony","1","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"RUNNING A ROADBLOCK","Title 21","21-540B",1999,"21-540B",1999,"Felony","1","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Fortifying Access Point to a Place Where a Felony is Being Committed","Title 21","21-540C",2009,"21-540C.C",2009,"Felony","0","5","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL OATH","Title 21","21-541",1910,"21-541",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Administration of Oath","Title 21","21-542",1910,"21-542",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Compounding or Concealing Crime (Crime Punishable by Death or Life Imprisonment)","Title 21","21-543",1999,"21-543.A.1",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Compounding or Concealing Crime (Crime Punishable by Less than Life Imprisonment)","Title 21","21-543",1999,"21-543.A.2",1999,"Felony","0","3","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Compounding or Concealing Crime (Crime Punishable by County Jail/Fine/Misdemeanor/Forfeiture/etc.)","Title 21","21-543",1999,"21-543.A.3",1999,"Misdemeanor","0","1","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"Compounding or Delaying Prosecution","Title 21","21-544",1910,"21-544",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"ATTEMPTING TO INTIMIDATE AN OFFICER","Title 21","21-545",1910,"21-545",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Suppression of Evidence","Title 21","21-546",1910,"21-546",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Taking Conveyance of Land Involved in Suit","Title 21","21-547",1910,"21-547",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Buying or Selling Land Under Pretended Right or Title","Title 21","21-548",1910,"21-548",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Common Barratry","Title 21","21-550",1910,"21-551",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Attorney Buying Evidence of Debt","Title 21","21-554",1910,"21-554",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Attorney Misleading Court","Title 21","21-554",1910,"21-554",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Prosecution or Partner Aiding Defense","Title 21","21-555",1910,"21-555",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Prosecution Aiding or Advising Defense","Title 21","21-556",1910,"21-556",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Attorney, etc. Advancing Loan","Title 21","21-559",1910,"21-559",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"CONTEMPT OF COURT","Title 21","21-565",1910,"21-566",2008,"Unspecified","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"INDIRECT CONTEMPT OF COURT","Title 21","21-566.1.A",2013,"21-566.1.B",2013,"Unspecified","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"VIOLATION CHILD CUSTODY ORDER","Title 21","21-567A",2009,"21-567A",2009,"Felony","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Failure to Appear for Jury Service - Good Cause","Title 21","21-567B",2004,"21-567B",2004,"Unspecified","Unspecified","Unspecified","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Application to Another Judge to Stay Trial","Title 21","21-569",1910,"21-569",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Grand Juror Participating After Challenge","Title 21","21-570",1910,"21-570",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Magistrate or Clerk Permitting Deposition","Title 21","21-571",1910,"21-571",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Permitting Inspection of Deposition Returned by Grand Jury","Title 21","21-572",1910,"21-572",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Concealing Real and Personal Property After Lawful Order","Title 21","21-573",1910,"21-573",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Deceit, Collusion, Delay of Suit, etc. by Attorney","Title 21","21-575",1910,"21-575",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Use of Attorney's Name","Title 21","21-576",1910,"21-576",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fraudulently Producing Infant to Receive Inheritance or Property","Title 21","21-578",1999,"21-578",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Substituting One Child for Another","Title 21","21-579",1999,"21-579",1999,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Public Officer's Willful Neglect to Perform Duty","Title 21","21-580",1910,"21-580",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Public Officer's Willful Omission to Perform Duty","Title 21","21-581",1910,"21-581",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Disclosing Content of Sealed Presentment or Indictment","Title 21","21-582",2012,"21-582",2012,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Disclosing Proceedings of Grand Jury","Title 21","21-583",1974,"21-583",1974,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Instituting Legal Action or Making Arrest in Name of Nonexistent Person","Title 21","21-584",1910,"21-584",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Communication with Convict","Title 21","21-586",1910,"21-586",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Public Officer Making False Certificate or Writing","Title 21","21-587",1910,"21-587",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Grand or Petit Juries - Recording of or Listening to Proceedings","Title 21","21-588",1999,"21-588",1999,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"FALSE REPORTING OF CRIME","Title 21","21-589",2007,"21-589.A",2007,"Misdemeanor","0","90 days","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"FALSE REPORTING OF CRIME (MISSING CHILD/AMBER ALERT)","Title 21","21-589",2007,"21-589.B",2007,"Felony","0","1","1000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Maintenance of Financial and Business Records","Title 21","21-590.A",1999,"21-590.B",1999,"Felony","0","3","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Attorney's Use of Agent Runners Prohibited","Title 21","21-591",1994,"21-591.G",1994,"Misdemeanor","Unspecified","Unspecified","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Medical Care Provider's Use of Agent Runners Prohibited","Title 21","21-592",1994,"21-592.G",1994,"Misdemeanor","Unspecified","Unspecified","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Misdemeanor Fine if Otherwise Unspecified","Title 21","21-64",1999,"21-64.A",1999,"Misdemeanor","Unspecified","Unspecified","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Felony Fine if Otherwise Unspecified","Title 21","21-64",1999,"21-64.B",1999,"Felony","Unspecified","Unspecified","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"ASSAULT","Title 21","21-644.A",2014,"21-644.A",2014,"Unspecified","0","30 days","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"ASSAULT AND BATTERY","Title 21","21-644.B",2014,"21-644.B",2014,"Unspecified","0","90 days","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ABUSE (PRIOR PATTERN OF PHYSICAL ABUSE)","Title 21","21-644.C.1",2014,"21-644.1.C",2016,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ABUSE (FIRST OFFENSE)","Title 21","21-644.C.1",2014,"21-644.C.1",2014,"Unspecified","0","1","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ABUSE (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-644.C.2",2014,"21-644.C.2",2014,"Unspecified","0","4","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ASSAULT (AND BATTERY) WITH A DANGEROUS WEAPON (FIRST OFFENSE)","Title 21","21-644.D.1.a",2014,"21-644.D.1.a",2014,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DOMESTIC ASSAULT (AND BATTERY) WITH A DANGEROUS WEAPON (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-644.D.1.b",2014,"21-51.1a",2002,"Felony","Life without Parole","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DOMESTIC ABUSE (AGAINST PREGNANT WOMAN AND WITH KNOWLEDGE OF PREGNANCY, FIRST OFFENSE)","Title 21","21-644.E.1",2014,"21-644.E.1",2014,"Misdemeanor","0","1","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DOMESTIC ABUSE (AGAINST PREGNANT WOMAN AND WITH KNOWLEDGE OF PREGNANCY, SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-644.E.2",2014,"21-644.E.2",2014,"Felony","10","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DOMESTIC ABUSE (AGAINST PREGNANT WOMAN AND WITH KNOWLEDGE OF PREGNANCY, MISCARRIAGE OR INJURY TO FETUS)","Title 21","21-644.E.3",2014,"21-644.E.3",2014,"Felony","20","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DOMESTIC ABUSE (GREAT BODILY INJURY)","Title 21","21-644.F",2014,"21-644.F",2014,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DOMESTIC ABUSE (IN PRESENCE OF CHILD, FIRST OFFENSE)","Title 21","21-644.G.a",2014,"21-644.G.a",2014,"Unspecified","6 months","1","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ABUSE (IN PRESENCE OF CHILD, SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-644.G.b",2014,"21-644.G.b",2014,"Unspecified","1","5","0","7000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ABUSE (STRANGULATION, FIRST OFFENSE)","Title 21","21-644.J.1",2014,"21-644.J.1",2014,"Unspecified","1","3","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"DOMESTIC ABUSE (STRANGULATION, SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-644.J.2",2014,"21-644.J.2",2014,"Unspecified","3","10","0","20000","No","Nonspecific","Not Applicable","Not Applicable"
"ASSAULT &/OR BATTERY W/DANGEROUS WEAPON","Title 21","21-645",2006,"21-645",2006,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"AGGRAVATED ASSAULT AND BATTERY","Title 21","21-646",2002,"21-647",2002,"Unspecified","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"MISTREATING OR IMPEDING POLICE DOG OR HORSE","Title 21","21-649.1",2014,"21-649.1.C",2014,"Misdemeanor","0","1","0","500","Yes","Nonspecific","Not Applicable","Not Applicable"
"MISTREATING OR IMPEDING POLICE DOG OR HORSE (DURING COMMISSION OF MISDEMEANOR OR FELONY)","Title 21","21-649.1",2014,"21-649.1.D",2014,"Felony","0","2","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"KILLING POLICE DOG OR HORSE","Title 21","21-649.2",2014,"21-649.2.B",2014,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"KILLING POLICE DOG OR HORSE (DURING COMMISSION OF MISDEMEANOR OR FELONY)","Title 21","21-649.2",2014,"21-649.2.C",2014,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Treatment of Service Dog (Mistreat/Kill/Otherwise Impede)","Title 21","21-649.3",2005,"21-649.3.C",2005,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Treatment of Service Dog (DURING COMMISSION OF MISDEMEANOR OR FELONY)","Title 21","21-649.3",2005,"21-649.3.D",2005,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Treatment of Service Dog (Owner Allows/Permits/Encourages Animal to Impede/Hurt/Kill Another's Service Animal)","Title 21","21-649.3",2005,"21-649.3.E",2005,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Treatment of Service Dog (Enact/Enforce License/Registration)","Title 21","21-649.3",2005,"21-649.3.F",2005,"Misdemeanor","Unspecified","Unspecified","50","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Assault and Battery Upon Police Officer, Sheriff, etc. (Assault)","Title 21","21-649.A",2015,"21-649.A",2015,"Unspecified","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Assault and Battery Upon Police Officer, Sheriff, etc. (Battery (Could Incl. Assault))","Title 21","21-649.B",2015,"21-649.B",2015,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Athletic Contests - Assault and Battery upon Referee, Umpire, Etc.","Title 21","21-650.1",1984,"21-650.1",1984,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful to Touch Assistive Device of Another","Title 21","21-650.10",2000,"21-650.10",2000,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"MEDICAL BATTERY","Title 21","21-650.11",2008,"21-650.11",2008,"Felony","0","4","0","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"ASSAULT AND/OR BATTERY OF ON-DUTY DOC EMPLOYEE BY DOC PRISONER","Title 21","21-650.2.A",2008,"21-650.2.A",2008,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
